company,apply_difficulty_by_jd,current_base,offer_link,title,jd_requirements,apply_link,apply_success,comment
okx,mid,sgp,https://job-boards.greenhouse.io/okx/jobs/6610768003,staff softwarte engineer,advanced low-latency;high-throughput techniques;Java;scalability; reliability;maintainability;monitor;on call;software engineering life cycle;secure coding;auto-test;ci-cd;jvm internals;memory management;concurrency;distributed systems;message-oriented middleware;relational-sql;no-sql;data-modeling;linux performance tuning;high-frequency trading platforms;market-making systems;algorithmic trading infrastructure;FIX Protocol; hardware-level optimizations;specialized networking for ultra-low latency;open-source projects,,,
paypal,mid;hard,sgp,https://paypal.eightfold.ai/careers?domain=paypal.com&start=10&location=Central+Singapore%2C++Singapore&pid=274908329462&sort_by=distance&filter_distance=80&filter_include_remote=1&filter_job_category=Software+Engineering,staff softwarte engineer,software engineering life cycle;team managing;communication;Java;cloud platform;containerization;ci/cd pipelines;financial technology;data platforms;ai/ml;diversity. equity. and inclusion;large scale;distributed system;,,,job id R0128604
paypal,mid,sgp,https://paypal.eightfold.ai/careers?domain=paypal.com&start=10&location=Central+Singapore%2C++Singapore&pid=274908069630&sort_by=distance&filter_distance=80&filter_include_remote=1&filter_job_category=Software+Engineering,senior software engineer,software engineering life cycle;standard procedures;communication;test;Java;deployments;relational-sql;no-sql;open-source Java Libraries;testing framework;large scale,,,job id R0128847
autodesk,mid;hard,sgp,https://autodesk.wd1.myworkdayjobs.com/en-US/Ext/details/Senior-Software-Engineer_25WD90275-1?jobFamilyGroup=1f75c4299c9201c0f3b5f8e6fa01c5bf&locationCountry=80938777cac5440fab50d729f9634969,senior software engineer,software engineering life cycle;Agile;scrum;real-time;sprint;high-traffic;low latency;global traffic;multi-region fail-over;communication;real-time streaming;AWS;Lambda;Fargate;SQS;DynamoDB;Auroratest;Java;python;go,,,
The Digital and Intelligence Service,easy,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4287340180&f_C=88965689&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,senior software engineer,large-scale;high-availability;full-stack web;,,,
Traveloka ,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4170842098&f_C=2778669&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,senior software engineer,scalable;data;reliability;monitor;test;backend;go;Java;python;maintainable;English,,,
Defence Science and Technology Agency,easy,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4114483196&f_C=9471&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C10738%2C25194%2C30006%2C6483&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Software Developer (Backend),,,,
Wipro,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4273709682&f_C=1318&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Java Technical Lead,Java;J2EE;SQL;open-source;Spring Framework;Spring Boot;MongoDB;JPA;Hibernate;Karate;TestNG;JUnit;data structures;algorithms;communication;JDK;JDK latest version;SOAP;REST;CI/CD;container;Kafka;RabbitMQ,,,
Government Technology Agency,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=3924955123&f_C=164351&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&sortBy=R&spellCorrectionEnabled=true,Senior Software Engineer (Singpass),,,,
Mastercard,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4286702036&f_C=3015&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Senior Software Engineer,scalable;full-stack;Java;SpringBoot;microservices;React/Angular;iOS/Android;SQL;NoSQL;AI/ML;Databricks;;AWSAIStack;agile,,,
Luxoft,easy,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4283118198&f_C=89741967&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Senior Software Engineer,,,,
Crypto.com,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4161928527&f_C=13322447&f_E=3%2C4&f_T=9&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R,Senior Software Engineer,large scale;reliable;financial;Blockchain; Ruby;Golang; Postgres;Redis;Kafka;security,,,
Crédit Agricole,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4285401847&f_C=2579&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Senior Java Developer,CI-CD;Java/J2EE;Spark;Kafka;Flume;ActiveMQ;Hadoop;HDFS; HBase; Hive; ORC;Parquet;Maven;Restful;Junit;Jira,,,
Visa,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4257889259&f_C=2190&f_E=3%2C4&f_F=it%2Ceng&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Sr SW Engineer - Full stack Java,Java;J2EE;Spring;Struts;container;SQL;DB2;communication;AI;UNIX;shell;financial;Agile;Scrum,,,
TD,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4231357409&f_C=2775&f_E=3%2C4&f_F=it%2Ceng&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&sortBy=R&spellCorrectionEnabled=true,Software Engineer ,Java;JDK 17+;sales;trading;quant;pre-trade;Git;Bitbucket;JIRA;TeamCity;Maven;Gradle;Jenkins;Artifactory;message;Solace;Tib RV/Faster Than Light;Aeron;Redis;Hazelcast;fixed income products;communication;Low latency;low or zero GC;KDB/Q,,,
Capgemini,hard,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4276891008&f_C=157240&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Backend Developer,OpenAPI;microservices;JDK17;SpringBoot;Camel4;cross-functional;bottlenecks;security;auto-test;Html;Css,,,
Shopee,hard,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4268145883&f_C=6451760&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Expert Software Engineer,financial;large-scale;availability;comunication;Go;Java;MySQL;Nginx;Redis;Kafka.RPC,,,
Shopee,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4187358388&f_C=6451760&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Senior Backend Software Enginee,reliability;scalability;Java ;Golang;Java;Python;Data Structures;Algorithms;Networking;Operating Systems;MySQL;Redis;Kafka;container;Microservice;Http/TCP;xml;json;Protocol Buffer;Distributed;concurrency;cache;Fintech ,,,
Goldman Sachs,hard,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4287501205&f_C=1382&f_E=3%2C4&f_F=it%2Ceng&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&sortBy=R&spellCorrectionEnabled=true,Core Engineering, CI/CD;GitLab;Jenkins;CircleCI;Bitbucket;cloud deployment; AWS cloud constructs;Terraform;Docker;Kubernetes;Kafka;Golang;Java;Python;SDLC;system design;SRE principles;diagnosis;prevention;performance;availability;communication;Prometheus;Grafana;ML;AI;TCP;UDP;ICMP;ARP;DNS;TLS;HTTP;SSH,,,
Goldman Sachs,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4180224444&f_C=1382&f_E=3%2C4&f_F=it%2Ceng&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&sortBy=R&spellCorrectionEnabled=true,Core Engineering,Java;GoLang;Strong software engineering fundamentals;CI/CD;pipelines;monitor;GitLab;communication;Linux;Docker;etc;Kubernetes;Terraform;AWS;networking;TCP;UDP;ICMP;ARP;DNS;TLS;HTTP;SSH;AI;ML;,,,
Selby Jennings,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4264978514&f_C=106584&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Senior Java Developer,CI/CD;Java/J2EE;Data ingestion;processing;Kafka;Flume;ActiveMQ;MQSeries;RabbitMQ;HDFS;HBase;Hive;ORC/Parquet;Maven;RESTful ;Jenkins;JUnit;Jira/QC;design patterns;Phoenix;Elasticsearch;Sqoop;StreamSets;finance and investment banking;communication;,,,
EPAM,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4266298275&f_C=4972&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Software Engineer,Java;AI-augmented;Agentic AI;reliability;Azure Cloud;Azure Data Factory;SCRUM;UT;PostgreSQL,,,
A*STAR - Agency for Science. Technology and Research,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4257727738&f_C=164324&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C10738%2C25194%2C30006%2C6483&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Senior Software Research Engineer,,,,
Honeywell,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4274799597&f_C=1344&f_E=3%2C4&f_F=it%2Ceng&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&sortBy=R&spellCorrectionEnabled=true,Software Engr,front-end;microservices;Azure cloud;Agile;container;Docker;Kubernetes;Python;Node.js;UI/UX design principles;finance;asset management;Agile;multithreading;C#;React JS; .NET;Azure;SQL;RESTful;GitHub;GitLab;CI/CD,,,
Deloitte,mid,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4241676935&f_C=1038&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=30006%2C10738%2C25194%2C39%2C6483%2C9&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Cloud Security Engineer,cloud security;Microsoft Azure;Microsoft 365;Entra ID;Microsoft Defender suite;Microsoft Purview;Microsoft cloud security;Azure Platform Security ;Secure Landing Zone.;Azure Key Vault; Azure Security Center; Azure Policy.;Azure Networking;Identity management;Microsoft Entra ID;Conditional Access;PIM; Endpoint management ;Microsoft Intune;,,,
Rockwell Automation,hard,sgp,https://www.linkedin.com/jobs/search/?currentJobId=4278750482&f_C=2498&f_E=3%2C4&f_F=it%2Ceng&f_PP=103804675&f_T=9%2C39%2C25194%2C30006%2C6483%2C10738&geoId=102454443&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&sortBy=R&spellCorrectionEnabled=true,Senior Software Engineer,well-documented;performing;iterative;Code review;ut;Digital Twin;AI/ML; AR/VR;Python;C#;Java,,,
Airwallex,mid,sgp,https://careers.airwallex.com/job/404a41c6-9d40-4ab2-be85-739e3be23745/software-engineer-ii-client-risk/,Software Engineer,AI;ML;LLMs;agent frameworks;data analytics;name screening;sanction checking;anti-money laundering;AI-driven;scalable;high available;low-latency;distributedcloud ;GCP/AWS;reliability;data governance;data pipelines;data quality monitor;real-time streaming;communication;Java;Python;Spring;concurrency;data model;financial crime;risk management;compliance;fintech domains;LLM agent;Retrieval-Augmented Generation (RAG) pipelines;langchain;langfuse;MCP;predictive risk analytics;fraud detection;operational automation;real-time data streaming;Kafka;Flink;Spark;BigQuery;Airflow;ElasticSearch;agent and automation evaluation frameworks;,,,
Airwallex,mid,sgp,https://careers.airwallex.com/job/50c44f36-f889-40e4-ba32-84b20d2cada4/software-engineer-ii-t0-infra/,Software Engineer,Cloud Infrastructure;distributed;CI/CD;monitor; data engineer;SQL;Redis;network;container; Istio;Crossplane;ArgoCD/Rollout/Workflow;monitor;on-call;AI;Kubernetes;Service Mesh (Istio);Crossplane;GitOps;cloud platforms;scalable;fault-tolerant;Containerization;Crossplane;Pulumi;Terraform;maintainable;Go;Python;Communication;automate infrastructure workflows;Istio;traffic management;observability;security;microservices;ArgoCD;Flux;GCP;AWS;Azure;CNCF ,,,
